Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7842127129206481,0.7844663915593267,0.7842127129206481,0.7838458810977614
Linear SVM,0.7744079767345243,0.7742215230897339,0.7744079767345243,0.7740728617438953
Naive Bayes,0.7620274200249273,0.762663901218379,0.7620274200249273,0.761592822912668
Random Forest,0.657914416285833,0.6955526412378554,0.657914416285833,0.6534611621419963
